"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 20 04:43:33 UTC 2023","Thu Jul 20 04:43:37 UTC 2023","3198","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Thu Jul 20 04:40:57 UTC 2023","Thu Jul 20 04:40:58 UTC 2023","740","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Thu Jul 20 04:14:25 UTC 2023","Thu Jul 20 04:14:43 UTC 2023","18737","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Thu Jul 20 04:34:03 UTC 2023","Thu Jul 20 04:35:06 UTC 2023","63212","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Thu Jul 20 04:11:54 UTC 2023","Thu Jul 20 04:12:18 UTC 2023","24441","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Thu Jul 20 04:39:50 UTC 2023","Thu Jul 20 04:40:09 UTC 2023","18775","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Thu Jul 20 04:10:58 UTC 2023","Thu Jul 20 04:11:06 UTC 2023","7980","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Thu Jul 20 04:26:05 UTC 2023","Thu Jul 20 04:26:26 UTC 2023","21070","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Thu Jul 20 06:05:11 UTC 2023","Thu Jul 20 06:05:28 UTC 2023","16257","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Thu Jul 20 04:33:59 UTC 2023","Thu Jul 20 04:34:03 UTC 2023","4408","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Jul 20 04:12:29 UTC 2023","Thu Jul 20 04:13:00 UTC 2023","30776","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Thu Jul 20 04:35:09 UTC 2023","Thu Jul 20 04:35:14 UTC 2023","4915","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Thu Jul 20 05:45:59 UTC 2023","Thu Jul 20 05:46:04 UTC 2023","4367","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Thu Jul 20 04:22:51 UTC 2023","Thu Jul 20 04:23:04 UTC 2023","12739","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Thu Jul 20 06:05:28 UTC 2023","Thu Jul 20 06:05:30 UTC 2023","1772","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Thu Jul 20 04:22:47 UTC 2023","Thu Jul 20 04:22:51 UTC 2023","3829","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Thu Jul 20 05:03:57 UTC 2023","Thu Jul 20 05:04:10 UTC 2023","12106","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"skipped","Thu Jul 20 04:11:06 UTC 2023","Thu Jul 20 04:11:06 UTC 2023","1","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
